Shipment_ID,Date,Country,Port_of_Loading,Commodity,Quantity_Tons,Export_Value_USD,Shipping_Cost_USD,Transport_Mode,Delivery_Days,Trade_Term_INCOTERM,Container_Type,Carrier
SHP1022,2016-01-26,South Africa,Mumbai,Automobiles,162.303741678898,55729.08896784513,12338.177278153236,Air,,EXW,Reefer,DHL
SHP1023,2019-04-29,USA,Mumbai,Food Products,14.723592416364877,38671.08730549091,16447.11595362214,Road,8.0,DDP,Reefer,Maersk
SHP1024,2013-09-11,Germany,Kolkata,Automobiles,122.66382138294796,136900.0106988811,6989.809240871612,Air,37.0,DAP,LCL,FedEx
SHP1025,2023-10-26,Brazil,Nhava Sheva,Pharma,,107612.18851834728,4033.941822528233,Sea,39.0,DDP,LCL,MSC
SHP1026,2015-01-30,UK,Chennai,Textiles,35.5988680472593,103851.96601174452,,Sea,15.0,CIF,LCL,DHL
SHP1027,2008-09-20,South Africa,Chennai,Food Products,7.929395686210428,52840.364076506805,14705.872464952736,Air,27.0,FOB,Open Top,FedEx
SHP1028,2011-07-01,Germany,Nhava Sheva,Chemicals,65.97909255258432,,12359.48005835646,Road,,DAP,LCL,DHL
SHP1029,2016-01-11,Japan,Kolkata,Pharma,119.68802281227164,83233.28938967994,4285.50979592536,Air,3.0,FOB,FCL,Hapag-Lloyd
SHP1030,2024-05-02,Germany,Cochin,Chemicals,31.965218813925805,23098.77713261806,3072.2948138803863,Road,37.0,DDP,LCL,FedEx
SHP1031,2018-12-09,Brazil,Mumbai,Chemicals,88.09386233963467,181385.851828542,2589.608642207061,Air,21.0,DDP,Reefer,DHL
SHP1032,2011-06-05,Japan,Kolkata,Electronics,112.7026919879842,10167.564047402644,,Sea,14.0,EXW,Open Top,FedEx
SHP1033,2016-06-10,South Africa,Nhava Sheva,Electronics,121.78220347767684,87466.86912850752,202.34916923483016,Sea,42.0,DAP,Open Top,Hapag-Lloyd
SHP1034,2007-09-13,Brazil,Mumbai,Textiles,58.51028559507315,12344.62557276392,562.7229835501658,Road,42.0,DDP,Reefer,Maersk
SHP1035,2015-06-04,UAE,Chennai,Food Products,83.00577901732682,20917.68716382373,7913.152085396687,Air,22.0,CIF,Open Top,Maersk
SHP1036,2022-04-19,UK,Cochin,Food Products,156.77614966817396,132455.60005056037,13888.727312668016,Road,35.0,CIF,Open Top,CMA CGM
SHP1037,2011-12-02,South Africa,Chennai,Food Products,,130128.02967287072,13961.779654648595,Sea,31.0,FOB,FCL,FedEx
SHP1038,2008-02-06,UAE,Nhava Sheva,Automobiles,173.06666456806016,,8716.341817432274,Road,18.0,CIF,FCL,Hapag-Lloyd
SHP1039,2017-10-27,South Africa,Mumbai,Pharma,115.0352828380192,2224.0320739322988,,Air,16.0,DDP,Open Top,DHL
SHP1040,2024-09-23,Japan,Nhava Sheva,Food Products,85.00709657406958,17605.979294071232,10517.704355686485,Road,9.0,CIF,LCL,CMA CGM
SHP1041,2016-11-10,UAE,Mumbai,Pharma,,153073.78174696455,19543.242052586844,Air,8.0,DAP,Open Top,FedEx
SHP1042,2009-04-09,UK,Kolkata,Textiles,29.366530386383523,117746.1416047984,3416.712233969294,Air,23.0,FOB,FCL,CMA CGM
SHP1043,2008-11-09,Brazil,Cochin,Chemicals,25.77749320714203,9547.41254732134,12093.211900570992,Sea,38.0,DAP,Open Top,FedEx
SHP1044,2011-10-14,China,Kolkata,Food Products,,98643.2091428198,9926.527763829872,Air,24.0,DDP,LCL,Maersk
SHP1045,2011-08-11,Germany,Kolkata,Textiles,55.65991115337628,142981.81269678136,,Air,42.0,DDP,LCL,DHL
SHP1046,2012-10-08,USA,Nhava Sheva,Food Products,54.659028854327126,174052.37613095963,15049.810556405728,Air,21.0,CIF,FCL,Hapag-Lloyd
SHP1047,2008-05-03,UK,Cochin,Electronics,,,5655.058794653506,Road,27.0,EXW,Open Top,Maersk
SHP1048,2011-08-30,UAE,Mumbai,Machinery,41.6455617853901,66833.2314649052,,Sea,,EXW,FCL,CMA CGM
SHP1049,2023-05-13,China,Mumbai,Textiles,,28894.82082582661,7621.645277833095,Road,38.0,DDP,Reefer,MSC
SHP1050,2018-05-09,UK,Chennai,Food Products,24.24361941318452,48911.3323048266,5035.248569121386,Road,36.0,DDP,FCL,CMA CGM
SHP1051,2016-07-15,UAE,Mumbai,Machinery,118.06204230752525,155681.9554239643,8727.965567628422,Sea,13.0,FOB,FCL,MSC
SHP1052,2011-07-04,Australia,Nhava Sheva,Textiles,127.4334460704098,194353.8745783775,9572.248442366845,Road,44.0,DDP,FCL,FedEx
SHP1053,2007-06-20,Australia,Kolkata,Automobiles,76.21944562009197,94345.93623735534,14935.589121624287,Road,,DDP,Open Top,Maersk
SHP1054,2007-03-27,UK,Kolkata,Food Products,109.4056004247362,62459.936282462375,15348.357772665337,Air,44.0,FOB,Reefer,FedEx
SHP1055,2007-09-30,Australia,Kolkata,Automobiles,158.73790853425794,86979.73522808682,3339.408172174909,Road,4.0,DAP,Open Top,Hapag-Lloyd
SHP1056,2014-12-21,UAE,Cochin,Electronics,164.53031282274094,62353.00263973622,11936.891526685136,Sea,8.0,DAP,LCL,DHL
SHP1057,2024-10-21,UAE,Mumbai,Food Products,191.7928547645514,52784.52959501655,17944.71640593203,Road,4.0,FOB,Reefer,MSC
SHP1058,2007-03-05,UK,Nhava Sheva,Chemicals,165.73225725496053,119562.64897662157,2353.974855914304,Air,44.0,FOB,FCL,DHL
SHP1059,2011-02-05,China,Cochin,Electronics,,5115.724113961791,9563.698081775943,Road,,DAP,FCL,FedEx
SHP1060,2020-12-15,Brazil,Chennai,Machinery,,53391.34523566766,15056.991823685186,Sea,,DAP,FCL,Maersk
SHP1061,2011-05-24,South Africa,Nhava Sheva,Textiles,24.453893752054267,132953.65141330782,12307.528420770395,Air,16.0,DAP,Open Top,Maersk
SHP1062,2010-01-10,China,Nhava Sheva,Pharma,,8348.413868747395,2191.5960006131527,Road,12.0,DAP,LCL,FedEx
SHP1063,2006-05-27,Japan,Nhava Sheva,Electronics,134.97253719814984,18473.959668769126,8052.801281949253,Sea,35.0,CIF,Reefer,FedEx
SHP1064,2017-07-09,UAE,Kolkata,Pharma,162.46956980260865,60092.43666758539,10243.342064693908,Sea,44.0,FOB,Reefer,Maersk
SHP1065,2023-11-17,Japan,Nhava Sheva,Pharma,104.1933703833954,175805.350124579,19917.742913982205,Road,14.0,EXW,Open Top,Hapag-Lloyd
SHP1066,2016-01-07,China,Mumbai,Textiles,15.669264092559787,153447.45971272865,3736.436604608325,Road,,CIF,LCL,MSC
SHP1067,2008-01-03,South Africa,Nhava Sheva,Machinery,109.41676204531096,6387.0126244162175,19651.990589770227,Air,,EXW,Reefer,DHL
SHP1068,2014-03-23,South Africa,Kolkata,Textiles,187.4711059972873,101339.1377043214,7647.765727742989,Road,16.0,EXW,Open Top,CMA CGM
SHP1069,2009-10-05,USA,Nhava Sheva,Food Products,121.53457223182978,56388.12380950852,4166.345624261663,Air,7.0,DDP,LCL,FedEx
SHP1070,2010-04-21,South Africa,Chennai,Electronics,,130431.84049428848,8399.35982605512,Road,7.0,FOB,LCL,FedEx
SHP1071,2022-09-10,Brazil,Chennai,Pharma,161.02976643639136,144867.6687535053,12357.10345588938,Sea,34.0,CIF,Reefer,Maersk
SHP1072,2011-10-19,South Africa,Kolkata,Textiles,186.7651744572273,172846.79027159794,4427.248399437718,Sea,,FOB,Reefer,DHL
SHP1073,2007-04-10,China,Mumbai,Textiles,155.1946093017253,96132.41494659484,5970.493849382129,Sea,6.0,DAP,LCL,DHL
SHP1074,2022-01-25,USA,Mumbai,Textiles,150.80160023255246,198901.11753202573,17120.02073435874,Sea,32.0,FOB,Reefer,Hapag-Lloyd
SHP1075,2012-02-11,China,Cochin,Electronics,50.65001966927491,196037.24924284764,,Air,43.0,EXW,Open Top,MSC
SHP1076,2016-03-08,China,Kolkata,Machinery,16.685405287610884,176669.01144526456,6499.819291668843,Sea,19.0,DAP,LCL,Hapag-Lloyd
SHP1077,2008-06-12,Germany,Nhava Sheva,Chemicals,105.9318956854925,115824.16004129803,3147.364718208817,Air,5.0,FOB,Reefer,Hapag-Lloyd
SHP1078,2022-02-17,USA,Kolkata,Textiles,29.264670549617264,80805.27462575538,15904.782235882025,Air,15.0,FOB,Reefer,DHL
SHP1079,2008-07-05,China,Cochin,Electronics,192.6281958742083,74148.48940767742,12089.022608047875,Air,38.0,EXW,Open Top,MSC
SHP1080,2019-07-17,Germany,Kolkata,Pharma,61.53532871344057,4400.700517373476,2187.9426388369025,Road,20.0,DAP,Reefer,MSC
SHP1081,2021-02-19,Germany,Kolkata,Food Products,171.32411965993717,51336.550453988566,18946.07533243321,Air,25.0,EXW,Reefer,MSC
SHP1082,2018-07-07,USA,Cochin,Chemicals,80.58680191447957,144324.03051993455,1745.3806623178614,Road,37.0,FOB,Reefer,Maersk
SHP1083,2017-09-28,Japan,Mumbai,Automobiles,68.02287872218861,121519.15577882716,12582.056752346094,Air,258.0,CIF,FCL,MSC
SHP1084,2022-04-03,Brazil,Nhava Sheva,Chemicals,187.35592161344115,183451.59345517165,8593.957666692913,Road,38.0,CIF,Open Top,DHL
SHP1085,2021-07-12,South Africa,Cochin,Chemicals,75.84790155681368,11904.408849478456,11221.15358115073,Road,19.0,DDP,Open Top,Maersk
SHP1086,2010-06-06,Brazil,Chennai,Electronics,81.10614218931161,32744.76742911146,,Sea,41.0,CIF,FCL,CMA CGM
SHP1087,2013-08-27,South Africa,Mumbai,Automobiles,25.687897024517287,158270.27029172177,13824.585905162903,Air,36.0,DAP,Open Top,FedEx
SHP1088,2021-04-14,China,Chennai,Textiles,135.7370997300893,72984.51097667609,,Road,,DDP,Reefer,Hapag-Lloyd
SHP1089,2010-01-13,UAE,Mumbai,Textiles,61.32368582311513,25432.37607613983,9276.832306089327,Sea,7.0,DAP,Reefer,MSC
SHP1090,2015-07-06,USA,Nhava Sheva,Chemicals,119.1928127287039,199297.2000098177,,Air,42.0,CIF,Reefer,CMA CGM
SHP1091,2017-05-01,Brazil,Nhava Sheva,Electronics,,157875.55992853385,4948.27107726385,Sea,29.0,CIF,Open Top,MSC
SHP1092,2009-01-04,Brazil,Kolkata,Automobiles,145.24394064117456,82930.72527810826,17858.986078271406,Road,42.0,FOB,Open Top,Hapag-Lloyd
SHP1093,2010-06-23,China,Chennai,Textiles,150.32208980362603,165022.80043533578,19429.25322177117,Sea,15.0,DAP,LCL,DHL
SHP1094,2016-04-15,Japan,Mumbai,Pharma,105.3182247083002,,15768.678324703877,Sea,28.0,EXW,FCL,DHL
SHP1095,2010-03-16,Germany,Nhava Sheva,Machinery,69.54342978266358,158415.002394827,10946.91534276412,Air,16.0,FOB,Open Top,Hapag-Lloyd
SHP1096,2016-03-22,China,Cochin,Machinery,,163410.86275799866,19144.577125270887,Road,34.0,DAP,LCL,CMA CGM
SHP1097,2016-06-29,Australia,Nhava Sheva,Textiles,65.42380163465452,18776.279291482944,3246.231096272081,Air,13.0,DDP,FCL,Maersk
SHP1098,2018-05-29,Germany,Cochin,Automobiles,103.96427342151964,125348.63176224296,,Air,40.0,DAP,FCL,FedEx
SHP1099,2022-11-13,USA,Mumbai,Food Products,,3343.539489411863,10844.592993182978,Sea,18.0,DDP,Reefer,FedEx
SHP1100,2016-07-16,Germany,Nhava Sheva,Textiles,171.74028526408918,10604.336767631785,,Road,24.0,DDP,Reefer,FedEx
SHP1101,2019-10-08,Japan,Nhava Sheva,Food Products,89.22411357343661,180988.0417930565,16087.882086138325,Air,18.0,CIF,LCL,Maersk
SHP1102,2019-01-31,Germany,Mumbai,Food Products,80.28934182330944,106457.61682864749,13473.977242124009,Road,15.0,EXW,LCL,MSC
SHP1103,2020-09-03,USA,Nhava Sheva,Automobiles,139.5156201150393,,2707.837625181581,Air,14.0,DAP,Reefer,Hapag-Lloyd
SHP1104,2007-01-20,Japan,Cochin,Food Products,122.47601642298132,168023.1961077429,7059.735885392596,Sea,20.0,EXW,Reefer,Hapag-Lloyd
SHP1105,2012-07-27,Brazil,Nhava Sheva,Pharma,25.913132531689985,190018.17997778783,6913.72159806035,Air,31.0,DDP,FCL,Maersk
SHP1106,2009-05-11,Brazil,Chennai,Automobiles,104.09291723707284,174131.8638887136,11399.517417299989,Air,20.0,CIF,FCL,CMA CGM
SHP1107,2013-11-07,South Africa,Kolkata,Textiles,148.4182857249833,97695.6668420642,5970.876669626359,Air,4.0,EXW,Open Top,FedEx
SHP1108,2015-08-30,Germany,Cochin,Chemicals,198.45457909531447,68522.12086134127,2521.9810371674303,Road,4.0,FOB,Reefer,Hapag-Lloyd
SHP1109,2006-08-25,Brazil,Chennai,Pharma,127.68363262421222,32589.66076879556,13142.91678001128,Sea,5.0,DDP,FCL,DHL
SHP1110,2010-11-08,USA,Mumbai,Electronics,77.20714795605696,81263.65353248143,17050.531382993446,Road,31.0,FOB,LCL,DHL
SHP1111,2014-08-27,UK,Cochin,Machinery,49.09956196141309,,18645.840290225293,Air,10.0,EXW,FCL,Hapag-Lloyd
SHP1112,2015-05-28,UK,Kolkata,Textiles,,112795.81870726292,19457.05266965762,Sea,13.0,EXW,Reefer,FedEx
SHP1113,2016-12-25,Japan,Kolkata,Textiles,163.84021636213305,,15666.113554938478,Road,,EXW,FCL,FedEx
SHP1114,2008-10-09,Brazil,Mumbai,Textiles,50.614950051980045,195708.4443361194,2966.108080179663,Air,34.0,DAP,Reefer,FedEx
SHP1115,2009-10-23,Brazil,Mumbai,Pharma,44.12325757858183,,17091.614119887145,Sea,6.0,DDP,FCL,CMA CGM
SHP1116,2021-09-10,UK,Cochin,Electronics,144.45167147817924,129462.2094236988,,Sea,11.0,DDP,Open Top,DHL
SHP1117,2014-11-23,Brazil,Nhava Sheva,Chemicals,66.41565207415809,68348.30198513182,14652.2440130888,Air,26.0,DDP,Open Top,CMA CGM
SHP1118,2020-03-17,Germany,Mumbai,Automobiles,64.74776568058178,8831.767546668543,10719.10649822455,Sea,18.0,DAP,LCL,Maersk
SHP1119,2013-10-06,Australia,Nhava Sheva,Electronics,34.69659817819277,59048.77551322897,16606.401446245916,Sea,19.0,EXW,LCL,MSC
SHP1120,2014-01-26,UAE,Chennai,Pharma,56.47522634341684,154152.68429100432,8625.013510225835,Road,24.0,EXW,Reefer,FedEx
SHP1121,2016-07-01,South Africa,Kolkata,Textiles,88.36397373056667,42643.84427915274,1423.5174526524113,Sea,9.0,FOB,Reefer,Maersk
SHP1122,2006-09-13,Japan,Nhava Sheva,Machinery,147.90347576812104,143013.2623474747,11225.109475472922,Road,12.0,DAP,Reefer,MSC
SHP1123,2012-05-21,Australia,Kolkata,Textiles,,116796.40882874432,3591.552982419929,Road,31.0,CIF,FCL,DHL
SHP1124,2012-03-02,UK,Nhava Sheva,Automobiles,69.07784619856932,36027.66021059205,19317.24912058787,Road,,DAP,FCL,MSC
SHP1125,2020-12-12,Brazil,Chennai,Food Products,60.558084247724985,,10633.868703344731,Road,,FOB,FCL,MSC
SHP1126,2008-06-30,South Africa,Mumbai,Machinery,,100268.11349032234,11160.464117977755,Sea,16.0,FOB,LCL,Hapag-Lloyd
SHP1127,2022-06-18,Brazil,Chennai,Textiles,40.224156098556485,,18163.86111373339,Sea,16.0,FOB,Reefer,MSC
SHP1128,2024-05-31,USA,Mumbai,Chemicals,99.69799313626449,156155.6418142584,12566.787853993264,Road,27.0,EXW,FCL,Hapag-Lloyd
SHP1129,2016-01-12,USA,Mumbai,Machinery,142.31423345796452,147412.1192235629,,Sea,24.0,CIF,LCL,MSC
SHP1130,2015-08-01,South Africa,Kolkata,Food Products,10.809148286361324,115765.75168765738,6062.673414884748,Road,25.0,FOB,Open Top,Hapag-Lloyd
SHP1131,2023-06-02,South Africa,Chennai,Electronics,6.906979159623564,164810.3928716392,10131.257268147832,Road,34.0,DDP,Reefer,DHL
SHP1132,2017-11-17,UK,Nhava Sheva,Pharma,19.6489674801293,113408.5690554931,17358.842932797346,Road,28.0,EXW,Open Top,DHL
SHP1133,2016-11-18,South Africa,Chennai,Textiles,109.45371203698186,192949.0728181375,15935.640946578314,Air,,CIF,LCL,MSC
SHP1134,2023-09-20,Germany,Kolkata,Automobiles,171.61874122115367,45010.37163191413,19262.263603925527,Sea,14.0,DDP,Reefer,CMA CGM
SHP1135,2013-01-13,Brazil,Mumbai,Electronics,5.952470873949129,,1623.345232473632,Sea,21.0,CIF,FCL,DHL
SHP1136,2011-04-05,Australia,Kolkata,Textiles,187.6489543940128,75248.93814678465,,Road,21.0,CIF,LCL,Maersk
SHP1137,2007-04-30,China,Cochin,Electronics,25.72430975625448,,1788.1126147117743,Sea,36.0,DDP,Open Top,Maersk
SHP1138,2018-10-07,South Africa,Cochin,Automobiles,169.18678797135414,37716.72024160715,15071.368039268238,Road,34.0,DAP,Open Top,Hapag-Lloyd
SHP1139,2009-08-27,Japan,Nhava Sheva,Textiles,99.15667917167464,111395.68829978567,2988.507045177596,Sea,31.0,CIF,Open Top,CMA CGM
SHP1140,2009-12-26,USA,Kolkata,Food Products,133.57469051937457,44662.94768434383,2177.7490963526134,Road,23.0,DAP,LCL,FedEx
SHP1141,2023-04-09,Germany,Nhava Sheva,Food Products,104.58318196720056,41669.46858678437,11321.10970057124,Road,37.0,CIF,LCL,Hapag-Lloyd
SHP1142,2021-10-04,China,Nhava Sheva,Automobiles,98.02440390997415,,8347.397299959339,Air,44.0,DDP,Reefer,MSC
SHP1143,2024-04-08,Australia,Cochin,Machinery,167.80538853105634,160745.98853546064,14359.006507496848,Road,7.0,CIF,Reefer,DHL
SHP1144,2008-03-03,China,Nhava Sheva,Automobiles,152.3978440157242,150158.81041036634,,Air,14.0,FOB,Open Top,CMA CGM
SHP1145,2014-09-21,South Africa,Cochin,Machinery,99.26343612198582,159224.00392478547,8621.624999620964,Sea,9.0,FOB,LCL,Hapag-Lloyd
SHP1146,2016-01-31,UK,Mumbai,Textiles,26.76900623223201,193846.72899631105,8624.908885190023,Sea,43.0,CIF,Reefer,Hapag-Lloyd
SHP1147,2021-01-30,USA,Kolkata,Machinery,27.503577066309585,115508.78437313427,17463.152331897323,Air,,DDP,LCL,Maersk
SHP1148,2017-06-19,USA,Nhava Sheva,Textiles,161.30019484021972,45608.28772576639,8025.467884304835,Sea,27.0,DDP,FCL,MSC
SHP1149,2020-06-13,UK,Cochin,Textiles,108.23117116276904,172717.50886914134,6801.263129838743,Air,12.0,EXW,LCL,Hapag-Lloyd
SHP1150,2010-08-13,Brazil,Chennai,Chemicals,98.9098823427757,,6902.9945250500405,Sea,40.0,DDP,Open Top,Maersk
SHP1151,2014-06-29,UAE,Nhava Sheva,Pharma,137.71053406533946,84033.04584216628,4092.695776934828,Air,8.0,DAP,LCL,CMA CGM
SHP1152,2014-12-21,Germany,Mumbai,Textiles,172.47410876578076,95766.76071777998,17241.639241364992,Air,29.0,CIF,Open Top,Hapag-Lloyd
SHP1153,2013-02-10,USA,Mumbai,Machinery,127.63026316059452,83427.97489881607,3103.290137546115,Road,37.0,FOB,Reefer,FedEx
SHP1154,2008-11-03,Japan,Chennai,Pharma,153.75534095756342,186128.54772534285,18190.492608432185,Sea,,DDP,Reefer,FedEx
SHP1155,2017-04-23,USA,Cochin,Pharma,154.2277522028066,70019.25907666225,5812.660893837923,Road,11.0,FOB,Reefer,Maersk
SHP1156,2007-03-23,China,Nhava Sheva,Textiles,74.47098251462702,192769.88717392212,,Air,22.0,EXW,FCL,FedEx
SHP1157,2017-06-04,USA,Cochin,Automobiles,58.44622314999416,182233.81070828208,15858.249004928628,Road,39.0,CIF,Open Top,MSC
SHP1158,2009-03-21,USA,Mumbai,Automobiles,161.22699309915595,126843.18616513832,11723.352914817102,Air,37.0,DDP,FCL,DHL
SHP1159,2006-04-17,UAE,Cochin,Food Products,78.54986439792748,116804.71107381476,13455.506077588265,Sea,39.0,FOB,FCL,FedEx
SHP1160,2009-07-15,UAE,Mumbai,Pharma,181.15052127192752,75277.67745385424,6651.712998333569,Sea,42.0,DDP,Reefer,CMA CGM
SHP1161,2006-01-08,Australia,Cochin,Textiles,18.58968586237333,5631.001024108677,11569.726563687716,Sea,10.0,EXW,Open Top,Hapag-Lloyd
SHP1162,2015-11-01,Brazil,Chennai,Chemicals,16.352414854691233,27269.390875075147,5989.577434388601,Air,,FOB,LCL,Maersk
SHP1163,2024-10-24,Japan,Kolkata,Automobiles,185.7658112197746,151337.80202321065,8165.00171503114,Road,18.0,FOB,LCL,Hapag-Lloyd
SHP1164,2010-07-31,USA,Chennai,Chemicals,131.4487082653798,95364.94506445673,15340.318593539048,Sea,30.0,CIF,Open Top,DHL
SHP1165,2021-09-19,USA,Chennai,Textiles,79.0218745074248,31667.950569217683,,Air,8.0,CIF,LCL,Hapag-Lloyd
SHP1166,2015-03-22,Germany,Kolkata,Textiles,,54264.249118110456,16809.151113583248,Road,,FOB,Reefer,Hapag-Lloyd
SHP1167,2024-01-30,UAE,Kolkata,Pharma,136.10372794876005,189671.70616970595,7642.480502566931,Air,30.0,CIF,Reefer,Maersk
SHP1168,2019-07-22,Japan,Nhava Sheva,Chemicals,108.58420412982126,74692.30139143248,10736.965224952382,Air,13.0,FOB,FCL,DHL
SHP1169,2016-02-21,Australia,Nhava Sheva,Food Products,24.280301819217016,181721.0251533924,18850.817653744893,Sea,,DAP,Reefer,CMA CGM
SHP1170,2006-07-06,Brazil,Chennai,Pharma,163.37501952208655,62317.89479412819,13688.861477700122,Air,25.0,DDP,LCL,Maersk
SHP1171,2006-05-06,UK,Chennai,Electronics,173.87452218272182,109557.57868469786,12982.961434323624,Air,32.0,DAP,FCL,DHL
SHP1172,2017-10-17,Brazil,Mumbai,Chemicals,38.57289426776658,6054.462505715183,14289.833006579576,Road,,DAP,Open Top,DHL
SHP1173,2013-01-22,China,Mumbai,Automobiles,170.849772135528,105331.27185396822,,Sea,30.0,DDP,Open Top,Hapag-Lloyd
SHP1174,2010-05-29,USA,Nhava Sheva,Automobiles,176.18022564823002,128114.5181009048,5120.571442585914,Air,26.0,FOB,FCL,MSC
SHP1175,2022-09-24,Australia,Nhava Sheva,Automobiles,112.13857939626062,48392.409668761225,12342.1758748269,Air,30.0,FOB,Reefer,MSC
SHP1176,2023-10-08,China,Mumbai,Machinery,132.954912063424,116629.5608886607,8127.798316796315,Road,26.0,CIF,FCL,CMA CGM
SHP1177,2021-08-03,Japan,Mumbai,Textiles,79.53627740282582,130139.21886609514,434.7348055628297,Air,17.0,EXW,FCL,Hapag-Lloyd
SHP1178,2009-08-22,UK,Cochin,Pharma,59.94937126430687,138003.4435195878,2680.9577488409623,Air,41.0,FOB,Reefer,MSC
SHP1179,2015-06-13,UAE,Cochin,Automobiles,145.78671365557074,155727.8577603764,6634.839526219051,Air,35.0,DDP,Open Top,Maersk
SHP1180,2019-01-08,Australia,Mumbai,Electronics,173.0656540580826,63645.17010002447,11386.99942940193,Air,36.0,EXW,FCL,CMA CGM
SHP1181,2023-03-25,Australia,Cochin,Automobiles,132.54512282637077,114419.83737351188,17653.200578586177,Air,24.0,DDP,Open Top,Hapag-Lloyd
SHP1182,2019-12-02,USA,Kolkata,Food Products,104.76016907607708,196352.6478933897,15864.059540388502,Road,,DDP,LCL,FedEx
SHP1183,2009-11-29,South Africa,Nhava Sheva,Textiles,,179832.54579170112,11156.006713970855,Air,36.0,DDP,Reefer,Maersk
SHP1184,2019-03-29,Australia,Nhava Sheva,Chemicals,15.42444895793954,190627.75476347655,1662.634274567859,Air,44.0,EXW,LCL,MSC
SHP1185,2024-08-19,Germany,Mumbai,Textiles,91.90989909811556,78455.00690865713,5860.944549820577,Air,12.0,DAP,Open Top,MSC
SHP1186,2022-03-27,UK,Chennai,Chemicals,14.623164920997148,157811.76496753903,7460.831228266429,Air,32.0,DDP,LCL,MSC
SHP1187,2016-06-22,UK,Mumbai,Chemicals,116.0202532219089,124739.79444854886,12510.000267036085,Sea,13.0,CIF,LCL,MSC
SHP1188,2023-12-07,Germany,Cochin,Pharma,79.6321923069654,18381.546446323737,1485.487735000854,Sea,36.0,FOB,LCL,DHL
SHP1189,2019-10-13,Germany,Chennai,Machinery,152.65187833798404,165148.11705309895,10697.832379109372,Sea,23.0,FOB,FCL,FedEx
SHP1190,2018-02-21,Germany,Cochin,Chemicals,64.60145688305577,,18048.9986076652,Sea,15.0,FOB,FCL,CMA CGM
SHP1191,2017-09-22,UK,Kolkata,Chemicals,120.63162668864926,,14167.567374808576,Road,27.0,EXW,Reefer,CMA CGM
